iter	Passed	Remaining
0	129	129251
1	130	64949
2	130	43429
3	131	32717
4	131	26267
5	132	21975
6	133	18914
7	133	16607
8	134	14813
9	135	13381
10	135	12207
11	136	11226
12	136	10397
13	137	9690
14	138	9078
15	138	8542
16	139	8075
17	140	7654
18	140	7274
19	141	6933
20	142	6625
21	142	6347
22	143	6090
23	143	5853
24	144	5638
25	145	5440
26	145	5254
27	146	5081
28	146	4921
29	147	4772
30	148	4633
31	148	4501
32	149	4379
33	150	4263
34	150	4154
35	151	4050
36	151	3955
37	152	3865
38	153	3780
39	154	3697
40	154	3620
41	155	3547
42	156	3478
43	156	3410
44	157	3345
45	158	3285
46	159	3226
47	159	3170
48	160	3117
49	161	3064
50	161	3013
51	162	2965
52	163	2918
53	163	2871
54	164	2827
55	165	2792
56	166	2754
57	167	2715
58	168	2681
59	168	2644
60	169	2609
61	170	2577
62	171	2546
63	172	2516
64	172	2486
65	173	2456
66	174	2428
67	175	2399
68	175	2370
69	176	2344
70	177	2318
71	177	2293
72	178	2268
73	179	2242
74	179	2219
75	180	2197
76	181	2175
77	182	2152
78	182	2130
79	183	2109
80	184	2088
81	184	2067
82	185	2045
83	185	2026
84	186	2007
85	187	1989
86	187	1970
87	188	1952
88	189	1934
89	189	1916
90	190	1899
91	190	1882
92	191	1865
93	191	1849
94	192	1833
95	193	1817
96	193	1802
97	194	1788
98	194	1774
99	195	1761
100	196	1747
101	196	1733
102	197	1719
103	198	1706
104	198	1693
105	199	1680
106	199	1668
107	200	1655
108	201	1643
109	201	1631
110	202	1619
111	202	1607
112	203	1596
113	204	1585
114	204	1574
115	206	1576
116	213	1610
117	219	1640
118	219	1628
119	220	1617
120	221	1606
121	221	1594
122	222	1584
123	222	1574
124	223	1564
125	224	1555
126	224	1544
127	225	1534
128	225	1525
129	226	1515
130	227	1506
131	227	1497
132	228	1488
133	228	1479
134	229	1470
135	230	1461
136	230	1452
137	231	1444
138	231	1436
139	232	1427
140	233	1419
141	233	1410
142	234	1402
143	234	1394
144	235	1386
145	235	1379
146	236	1371
147	236	1364
148	237	1357
149	238	1350
150	238	1343
151	239	1336
152	240	1329
153	240	1322
154	241	1315
155	241	1308
156	242	1302
157	243	1295
158	243	1289
159	244	1282
160	244	1275
161	245	1268
162	245	1262
